date,semester,log(M1),log(GNP),rs,rl
1954,Q1,6.111246,7.249073,0.010800000,0.02613333
1954,Q2,6.115892,7.245084,0.008133333,0.02523333
1954,Q3,6.129268,7.257003,0.008700000,0.02490000
1954,Q4,6.141177,7.271565,0.010366667,0.02566667
1955,Q1,6.151881,7.292746,0.012600000,0.02746667
1955,Q2,6.159307,7.303641,0.015133333,0.02816667
1955,Q3,6.162472,7.316880,0.018633333,0.02926667
1955,Q4,6.161840,7.325610,0.023466667,0.02890000
1956,Q1,6.164157,7.323633,0.023800000,0.02886667
1956,Q2,6.158884,7.328175,0.025966667,0.02990000
1956,Q3,6.149963,7.328897,0.025966667,0.03126667
1956,Q4,6.147399,7.339927,0.030633333,0.03300000
1957,Q1,6.141392,7.348137,0.031700000,0.03273333
1957,Q2,6.133832,7.347557,0.031566667,0.03433333
1957,Q3,6.124902,7.353402,0.033800000,0.03630000
1957,Q4,6.115892,7.337783,0.033433333,0.03533333
1958,Q1,6.103677,7.317279,0.018366667,0.03256667
1958,Q2,6.108358,7.322643,0.010200000,0.03153333
1958,Q3,6.118538,7.346010,0.017100000,0.03570000
1958,Q4,6.127960,7.369412,0.027866667,0.03753333
1959,Q1,6.140100,7.381751,0.028000000,0.03916667
1959,Q2,6.144829,7.400621,0.030200000,0.04060000
1959,Q3,6.148682,7.396028,0.035333333,0.04156667
1959,Q4,6.131226,7.404523,0.043000000,0.04166667
1960,Q1,6.129486,7.421537,0.039433333,0.04223333
1960,Q2,6.121835,7.418661,0.030900000,0.04106667
1960,Q3,6.130139,7.419620,0.023933333,0.03830000
1960,Q4,6.122273,7.411012,0.023600000,0.03906667
1961,Q1,6.126869,7.421357,0.023766667,0.03826667
1961,Q2,6.134482,7.433726,0.023266667,0.03803333
1961,Q3,6.135998,7.447926,0.023233333,0.03973333
1961,Q4,6.142897,7.470167,0.024766667,0.04006667
1962,Q1,6.147185,7.483188,0.027400000,0.04060000
1962,Q2,6.149536,7.493540,0.027166667,0.03890000
1962,Q3,6.145258,7.502793,0.028566667,0.03980000
1962,Q4,6.147827,7.501137,0.028033333,0.03876667
1963,Q1,6.156767,7.514582,0.029100000,0.03913333
1963,Q2,6.162894,7.528332,0.029433333,0.03980000
1963,Q3,6.168983,7.545654,0.032800000,0.04013333
1963,Q4,6.173578,7.552815,0.034966667,0.04106667
1964,Q1,6.177737,7.574918,0.035366667,0.04156667
1964,Q2,6.183736,7.583451,0.034800000,0.04163333
1964,Q3,6.197055,7.593475,0.035066667,0.04143333
1964,Q4,6.205769,7.597747,0.036866667,0.04140000
1965,Q1,6.211202,7.619184,0.039000000,0.04150000
1965,Q2,6.209797,7.633563,0.038800000,0.04143333
1965,Q3,6.218002,7.649359,0.038600000,0.04196667
1965,Q4,6.230088,7.672106,0.041566667,0.04350000
1966,Q1,6.237934,7.691702,0.046333333,0.04556667
1966,Q2,6.237934,7.694302,0.045966667,0.04583333
1966,Q3,6.226932,7.704496,0.050500000,0.04780000
1966,Q4,6.220789,7.709398,0.045800000,0.04696667
1967,Q1,6.228708,7.715034,0.045266667,0.04440000
1967,Q2,6.235978,7.720994,0.036566667,0.04710000
1967,Q3,6.249975,7.735302,0.043466667,0.04933333
1967,Q4,6.256326,7.740925,0.047866667,0.05330000
1968,Q1,6.257476,7.752464,0.050633333,0.05243333
1968,Q2,6.264160,7.769336,0.055066667,0.05303333
1968,Q3,6.269664,7.777080,0.052266667,0.05073333
1968,Q4,6.280021,7.776115,0.055800000,0.05420000
1969,Q1,6.285067,7.790075,0.061400000,0.05883333
1969,Q2,6.278146,7.791440,0.062400000,0.05913333
1969,Q3,6.268338,7.796963,0.070466667,0.06136667
1969,Q4,6.259964,7.792968,0.073166667,0.06533333
1970,Q1,6.256518,7.786801,0.072600000,0.06563333
1970,Q2,6.250168,7.785929,0.067533333,0.06820000
1970,Q3,6.252674,7.798031,0.063833333,0.06650000
1970,Q4,6.256134,7.788958,0.053600000,0.06266667
1971,Q1,6.262827,7.815449,0.038600000,0.05823333
1971,Q2,6.274385,7.815368,0.042066667,0.05883333
1971,Q3,6.280583,7.820480,0.050500000,0.05750000
1971,Q4,6.285067,7.820440,0.042333333,0.05520000
1972,Q1,6.296372,7.842122,0.034333333,0.05650000
1972,Q2,6.305910,7.861380,0.037466667,0.05656667
1972,Q3,6.317886,7.871731,0.042400000,0.05626667
1972,Q4,6.332391,7.890321,0.048500000,0.05610000
1973,Q1,6.337180,7.913521,0.056400000,0.06100000
1973,Q2,6.328115,7.916078,0.066100000,0.06226667
1973,Q3,6.320948,7.915093,0.083900000,0.06596667
1973,Q4,6.307187,7.924000,0.074633333,0.06300000
1974,Q1,6.295450,7.918410,0.076033333,0.06636667
1974,Q2,6.278146,7.921245,0.082666667,0.07050000
1974,Q3,6.259199,7.908130,0.082833333,0.07270000
1974,Q4,6.238129,7.899302,0.073333333,0.06973333
